Kids,HouseholdSize,Sex,Vehicles,Food,Housing,Alcohol,Debt,income_category
0,3,male,0,71.916,349.4,16.659,59.05,High
4,5,female,1,48.162,288.99,17.344,76.842,Medium
2,3,female,2,61.355,299.56,18.861,47.805,Low
0,2,male,0,55.09,300.69,16.811,85.109,High
0,1,female,1,53.758,258.07,14.131,68.687,Medium
0,1,male,0,34.579,261.11,13.446,32.706,Low
3,6,male,1,70.244,460.16,15.23,106.113,Medium
3,5,male,1,70.791,305.78,20.721,55.882,Medium
2,4,male,2,42.568,269.13,18.642,59.616,Medium
3,4,female,3,84.147,280.3,19.232,60.249,Low
2,4,male,1,70.803,446.4,18.548,83.838,Medium
0,1,male,1,47.502,262.48,17.516,62.976,Low
0,2,female,2,52.217,304,17.698,60.907,Medium
0,2,male,2,47.573,363.89,17.222,38.41,Medium
0,2,male,1,57.777,306.75,15.974,77.002,Low
0,2,male,2,28.822,290.79,17.311,91.867,Medium
0,1,female,0,58.329,305.46,13.319,56.123,Low
0,1,male,1,63.18,312.38,16.214,82.291,Medium
0,1,female,1,58.564,288.12,15.051,35.762,Medium
0,1,female,2,62.259,312.09,19.398,71.142,Low
0,2,male,2,63.856,380.33,16.657,49.713,High
0,2,female,2,72.222,389.65,13.657,50.008,Medium
0,3,male,1,61.731,290.19,18.19,66.531,Low
0,1,female,0,44.248,277.65,17.892,87.825,Low
0,3,male,1,58.967,312.59,15.699,58.969,Low
0,3,male,1,27.29,294.4,11.766,64.736,Medium
1,4,female,2,81.06,368.36,14.387,80.157,High
2,4,male,1,71.063,316.67,17.798,49.901,Medium
1,3,male,2,54.481,301.43,20.511,43.63,High
0,2,male,1,61.027,387.57,12.053,40.061,Medium
0,3,female,0,60.233,303.99,11.788,34.775,High
3,5,male,1,54.182,314.13,13.896,46.374,Medium
0,2,male,1,53.011,285.77,14.831,70.541,Medium
0,1,male,0,58.877,284.43,16.483,42.178,Medium
0,2,male,1,45.401,328.15,17.74,69.367,Medium
1,3,male,1,60.762,351.33,16.142,0,Medium
0,1,male,2,55.79,335.25,16.796,71.764,High
4,5,female,0,63.014,287.95,16.382,49.821,Medium
0,1,male,2,63.012,282.84,19.923,46.834,Medium
0,2,female,0,62.471,384.55,14.987,65.529,Medium
0,1,female,1,54.124,304.62,19.747,44.315,Low
1,3,male,2,67.892,299.74,18.806,40.718,Medium
0,2,male,1,67.723,329.86,22.147,69.787,Medium
0,2,female,2,57.682,346.95,15.449,79.195,Medium
2,4,male,2,62.741,315.57,21.089,56.643,High
1,3,male,1,66.415,384.19,19.648,80.424,Medium
0,3,male,2,36.963,362.66,14.178,63.331,Medium
0,1,male,1,41.243,265.24,16.102,65.231,Low
0,2,male,1,49.845,310.23,16.201,55.12,Medium
0,1,female,2,78.445,304.22,16.607,51.348,Medium
0,1,male,1,52.472,300.23,18.25,84.508,High
1,3,female,2,63.521,318.66,18.595,125.451,Medium
0,2,male,1,64.451,359.77,14.513,100.631,High
0,1,female,3,68.405,329.55,19.656,43.126,Medium
0,2,male,1,60.886,422.87,20.387,56.911,Medium
1,4,male,1,52.98,320.92,18.544,46.708,Medium
0,1,female,0,59.589,387.83,15.849,74.65,Low
2,4,male,2,46.281,424.26,15.934,57.132,High
1,2,female,1,66,389.47,17.611,44.877,Low
0,1,male,2,67.556,417.05,19.191,49.978,Medium
2,4,male,2,40.055,239.56,17.357,115.398,High
1,3,female,1,57.303,384.3,15.8,56.438,High
0,1,female,0,74.798,314.1,16.674,55.424,Medium
3,5,male,0,54.458,353.79,18.695,60.351,Medium
1,3,male,0,85.692,337.33,14.288,63.054,Medium
2,4,male,1,61.486,374.4,13.429,54.66,High
0,2,male,1,72.817,406.93,11.448,51.737,High
0,2,male,1,50.625,284.9,14.106,67.847,Medium
0,1,male,2,56.813,255,15.827,44.683,Medium
1,2,female,0,81.572,445.48,11.465,74.306,Low
0,1,female,2,55.003,295.47,17.102,49.735,Medium
1,3,male,2,60.647,346.92,17.193,24.248,High
0,2,female,1,62.484,513.9,17.53,45.609,Medium
3,5,male,2,37.611,263.32,21.652,61.648,Medium
0,2,male,1,66.254,337.23,15.059,70.745,Low
0,2,female,1,50.36,258.6,15.685,68.747,Medium
2,5,male,2,52.116,323.93,16.83,48.304,Medium
0,1,male,1,49.175,311.97,17.233,43.972,Medium
0,1,male,0,46.721,278.37,13.358,76.123,Medium
0,2,male,1,36.312,247.24,14.988,33.953,Medium
1,3,male,0,75.15,344.44,19.391,44.119,Medium
0,2,male,0,63.519,194.94,19.166,47.209,Medium
0,2,male,1,57.419,301.17,15.268,53.831,Medium
1,3,male,0,42.201,450.54,16.178,0,Medium
0,1,female,1,70.38,306.77,16.54,42.121,Low
3,6,male,0,75.594,432.41,22.648,72.188,High
0,1,female,0,55.357,248.1,17.062,55.628,Low
0,2,male,1,36.784,320.35,16.453,54.873,High
0,3,female,2,82.462,307.35,17.57,83.425,Medium
0,1,female,0,49.153,321.71,16.436,61.727,Low
0,1,female,1,63.102,364.46,23.166,65.121,Low
0,2,male,1,51.697,512.64,16.657,60.28,Medium
1,3,male,1,52.115,366.04,14.406,75.865,Medium
1,3,male,1,64.669,281.9,13.677,67.097,Medium
0,1,male,1,66.135,308.28,15.416,0,Low
0,2,male,0,67.035,373.4,17.305,75.828,Medium
0,2,male,1,88.334,441.4,18.389,52.085,High
0,3,female,1,67.139,304.79,16.948,42.943,High
0,2,male,0,71.383,318.19,26.273,60.173,Medium
1,3,male,0,41.951,297.64,21.425,75.142,Medium
0,2,male,1,48.464,352.02,18.695,54.247,Low
2,4,male,1,61.439,294.13,19.487,60.596,Medium
3,5,male,1,80.935,385.76,17.297,46.818,Medium
2,4,female,0,75.736,398.85,19.496,68.96,Medium
0,2,male,2,63.54,420.97,18.198,73.254,High
2,4,male,0,43.635,300.33,11.417,54.608,Medium
0,2,female,1,22.978,211.89,18.844,77.234,Medium
