Platform,genre,avg.review,daily.listens,total.reviews,subscribers
Apple Podcasts,Comedy,3.78,4683.26,984,549.94
Spotify,News & Culture,4.7,4336.52,1005,340.07
Apple Podcasts,Documentary,3.98,4277.5,968,693.57
YouTube,Comedy,4.71,4717.49,1132,622.02
Apple Podcasts,News & Culture,4.7,4267.62,690,311.37
Apple Podcasts,News & Culture,4.55,4623.31,991,301.99
Spotify,Documentary,4.4,4228.83,970,849.31
Apple Podcasts,Comedy,4.84,4667,956,495.58
Apple Podcasts,Documentary,3.66,4335.86,1072,833.02
Spotify,Documentary,4.34,4518.86,1202,869.78
Spotify,News & Culture,4.45,4644.18,1175,226.32
Spotify,Comedy,3.93,4544.57,886,544.76
YouTube,Comedy,4.25,4548.34,778,747.52
Apple Podcasts,News & Culture,3.66,4356.99,842,483.49
Spotify,News & Culture,5,4841.95,1157,540.05
Apple Podcasts,Comedy,3.62,4688.69,992,238.4
Spotify,Documentary,4.88,4358.44,965,1051.92
Apple Podcasts,Comedy,4.04,4819.08,1071,439.7
Apple Podcasts,News & Culture,5,4518.69,910,587.75
Spotify,News & Culture,4.46,4607.91,1069,234.59
Spotify,Documentary,4.52,4441.9,1018,772.63
Apple Podcasts,News & Culture,4.6,4453.85,893,204.5
Spotify,News & Culture,4.38,4606.23,953,454.2
Apple Podcasts,News & Culture,5,4587.8,615,659.59
Apple Podcasts,Documentary,5,4168.06,500,930.39
Apple Podcasts,Comedy,4.42,4785.58,847,670.66
YouTube,News & Culture,4.11,4525.62,1117,511.68
Apple Podcasts,Documentary,4.01,4421.02,906,812.63
Spotify,News & Culture,4.76,4758.6,1123,611.86
Spotify,Documentary,4.44,4239.92,1062,766.76
YouTube,Documentary,4.58,4341.82,848,853.26
Apple Podcasts,Comedy,4.5,4807.58,965,608.76
Apple Podcasts,Comedy,4.3,4760.85,709,835.13
Apple Podcasts,Documentary,3.97,4217.75,1106,612.4
Spotify,News & Culture,4.53,4467.51,1057,611.26
Spotify,News & Culture,4.4,4420.46,1038,229.58
Apple Podcasts,Documentary,4.75,4263.94,936,838.26
Apple Podcasts,Documentary,4.5,4284.04,1245,810.23
Apple Podcasts,Comedy,4.63,4634.74,943,678.43
Apple Podcasts,News & Culture,4.58,4753.64,798,899.83
Apple Podcasts,Documentary,4.24,4403.23,950,803.81
Spotify,News & Culture,4.13,4674.57,663,512.28
Spotify,Documentary,4.48,4376.26,984,864.15
BBC Sounds,Documentary,4.65,4451.38,1028,936.48
Apple Podcasts,Comedy,5,4614.17,600,457.38
Apple Podcasts,News & Culture,4.13,4502.27,997,435.48
Apple Podcasts,News & Culture,5,4720.56,916,610.98
Apple Podcasts,News & Culture,5,4645.43,1061,668.8
Apple Podcasts,Documentary,4.77,4356.55,938,879.84
Apple Podcasts,Documentary,4.82,4317.4,1143,846.81
Apple Podcasts,News & Culture,4.79,4448.7,1048,559.62
Apple Podcasts,Comedy,2.96,4885.78,1095,516.61
Apple Podcasts,Comedy,4.63,4834.7,964,594.5
Spotify,News & Culture,3.44,4303.91,763,276.18
Apple Podcasts,News & Culture,4.45,4407.56,897,453.72
Apple Podcasts,News & Culture,4.42,4487.57,744,543.93
Apple Podcasts,Comedy,4.35,4732.85,865,427.46
Apple Podcasts,Documentary,4.75,4550.67,863,955.68
Apple Podcasts,Comedy,4.64,4712.05,1015,476.01
Apple Podcasts,News & Culture,4.59,4438.32,1013,547.83
Apple Podcasts,Documentary,3.83,4275.16,1151,615.58
Apple Podcasts,Documentary,3.85,4228.24,1003,860.79
BBC Sounds,Documentary,4.64,4300.34,1061,892.78
Spotify,News & Culture,4.36,4535.4,1142,437.39
Apple Podcasts,News & Culture,4,4377.87,602,743.59
Apple Podcasts,Documentary,4.41,4281.51,873,673.29
Spotify,Documentary,4.21,4334.67,1090,977.4
Apple Podcasts,Comedy,4.6,4805.57,1123,546.57
Apple Podcasts,News & Culture,4.59,4545.25,1004,512.83
Spotify,Documentary,4.66,4275.06,1065,834.85
Spotify,News & Culture,3.22,4243.27,687,380.64
Apple Podcasts,Comedy,4.43,4773.31,798,595.24
Spotify,News & Culture,4.22,4444.52,653,570.82
Apple Podcasts,Comedy,4.34,4683.27,873,577.01
Apple Podcasts,Documentary,4.8,4228.55,896,708.76
Apple Podcasts,News & Culture,4.79,4576.77,950,634
Apple Podcasts,Documentary,4.66,4499.79,1131,857.5
Apple Podcasts,News & Culture,4.8,4514.18,764,729.56
Apple Podcasts,News & Culture,4.49,4774.94,1219,579.24
Apple Podcasts,Documentary,4.51,4259.69,1101,963.39
Apple Podcasts,Documentary,4.59,4403.97,917,959.29
Apple Podcasts,Comedy,4.57,4644.72,886,521.51
Apple Podcasts,Documentary,4.8,4435.87,696,901.07
Apple Podcasts,Documentary,4.56,4254.22,891,674.04
Apple Podcasts,Documentary,3,4798.39,1067,855.48
Apple Podcasts,Comedy,3.48,4917.02,857,580.51
Apple Podcasts,Documentary,4.81,4302.01,837,832.4
Apple Podcasts,News & Culture,4.71,4278.58,778,370.57
Apple Podcasts,Documentary,4.16,4268.54,922,873.44
Apple Podcasts,News & Culture,3.48,4529.67,1009,481.36
YouTube,Comedy,4.87,4641.44,795,474.75
Apple Podcasts,Documentary,4.19,4268.11,1254,638.59
Apple Podcasts,News & Culture,4.53,4448.91,1305,407.11
Apple Podcasts,Documentary,4.84,4264.76,897,773.71
Apple Podcasts,Documentary,4.42,4323.41,1216,635.85
Spotify,News & Culture,3.71,4354.45,850,329.11
Spotify,News & Culture,5,4527.23,1004,518.53
Spotify,News & Culture,4.28,4472,1043,589.98
YouTube,Comedy,4.33,4621.65,834,805.71
Apple Podcasts,Documentary,4.75,4306.66,944,754.32
Apple Podcasts,Comedy,4.64,4621.72,992,329.26
Apple Podcasts,Documentary,4.74,4197.87,968,773.19
Apple Podcasts,Comedy,3.6,4633.34,874,433.73
Apple Podcasts,Comedy,4.86,4899.19,805,659.58
Apple Podcasts,Comedy,4.22,4656.34,898,604.96
Apple Podcasts,Documentary,4.25,4486.22,1065,913.24
Apple Podcasts,Documentary,4.45,4371.43,1038,677.76
Apple Podcasts,Documentary,4.84,4174.41,1025,793.18
Spotify,Documentary,4.84,4405.26,1221,835.07
YouTube,Documentary,4.42,4451.23,1078,996.85
Apple Podcasts,News & Culture,4.88,4546.06,857,681.02
Apple Podcasts,Documentary,4.5,4331.61,1104,889.56
Apple Podcasts,Comedy,4.53,4740.09,1156,523.36
Apple Podcasts,News & Culture,4.46,4327.51,720,685.65
Apple Podcasts,News & Culture,4.25,4466.73,776,708.41
BBC Sounds,Documentary,4.46,4279.49,957,671.83
Apple Podcasts,Documentary,4.31,4365.47,1152,407
Apple Podcasts,News & Culture,4.37,4530.16,989,454.11
Apple Podcasts,Comedy,4.83,4677.23,1084,682.91
Apple Podcasts,Documentary,4.5,4392,1012,857
Apple Podcasts,Documentary,4.59,4316.89,799,591.62
Apple Podcasts,News & Culture,4.42,4350.06,722,488.24
Apple Podcasts,News & Culture,4.81,4302.92,902,484.92
Apple Podcasts,Documentary,4.58,4384.14,1171,851.38
Apple Podcasts,Documentary,3.46,4338.38,855,825.48
Apple Podcasts,Documentary,4.43,4373.25,1016,977.71
Apple Podcasts,Documentary,4.77,4430.02,872,913.51
Apple Podcasts,News & Culture,4.8,4458.56,985,524.4
Apple Podcasts,Comedy,4.47,4935.09,990,734.03
Apple Podcasts,News & Culture,4.75,4453.95,1142,492.22
Apple Podcasts,Documentary,4.53,4610.99,1217,728.02
Apple Podcasts,Comedy,4.46,4398.63,800,572.89
Apple Podcasts,Comedy,4.33,4921.18,1329,391.48
Apple Podcasts,News & Culture,4.48,4413.89,1058,688.76
Apple Podcasts,Documentary,3.62,4363.78,962,959.06
Spotify,Documentary,4.8,4185.98,857,539.3
BBC Sounds,Comedy,4.62,4625.33,961,514.91
Apple Podcasts,News & Culture,5,4269.64,893,203.49
BBC Sounds,News & Culture,4.26,4446.06,757,380.39
Apple Podcasts,Documentary,4.87,4351.33,1212,906.19
Apple Podcasts,News & Culture,4.23,4474.15,1090,611.36
YouTube,Comedy,4.73,4795.91,811,765.26
Apple Podcasts,Documentary,4.68,4431.55,908,900.61
Apple Podcasts,Documentary,4,4474.83,1034,889.5
YouTube,Comedy,5,4728.05,1233,486.55
Apple Podcasts,Comedy,3.79,4661.08,1122,394.59
Apple Podcasts,News & Culture,4.21,4466.34,825,404.19
Spotify,Documentary,3.27,4298.5,1105,999.2
Apple Podcasts,Comedy,4.84,4645.77,989,615.55
Apple Podcasts,News & Culture,4.66,4713.06,959,598.8
YouTube,News & Culture,3.85,4497.15,829,338.62
Apple Podcasts,News & Culture,4.02,4455.97,1080,575.95
Apple Podcasts,News & Culture,4.19,4250.09,711,310.15
Spotify,Documentary,4.63,4317.11,940,815.03
Spotify,News & Culture,4.72,4535.66,991,531.21
YouTube,Comedy,4.59,4773.48,1025,475.19
Apple Podcasts,Documentary,4.88,4153.51,1125,728.08
Apple Podcasts,News & Culture,4.23,4592.28,1059,523
Apple Podcasts,Comedy,4.52,4824.29,976,684.85
Apple Podcasts,News & Culture,4.59,4340.09,816,192.66
Spotify,Comedy,4.84,4719.85,812,754.88
Apple Podcasts,News & Culture,4.72,4773.99,1051,562.87
Apple Podcasts,News & Culture,4.36,4884.16,919,463.9
Apple Podcasts,News & Culture,4.63,4574.8,1030,482.29
Apple Podcasts,News & Culture,4,4483.59,973,566.97
Apple Podcasts,Documentary,4.09,4214.05,879,748.31
Apple Podcasts,News & Culture,4.75,4597.4,1106,609.88
Apple Podcasts,News & Culture,5,4686.83,871,676.87
Apple Podcasts,Documentary,4.39,4171.31,687,840.83
Apple Podcasts,Documentary,5,4279.45,888,665.61
Apple Podcasts,Comedy,4.8,4751.05,1062,531.32
Apple Podcasts,Comedy,4.3,4440.03,605,438.76
YouTube,News & Culture,3.41,4292.52,476,487.41
Apple Podcasts,Comedy,4.56,4681.55,735,483.04
Apple Podcasts,Documentary,4.3,4314.51,1064,645.58
Apple Podcasts,News & Culture,3.91,4482.63,764,611.88
Apple Podcasts,Comedy,4.6,4700.01,996,419.86
YouTube,Comedy,4.83,4593.23,803,563.53
Apple Podcasts,News & Culture,4.12,4474.24,965,479.14
Apple Podcasts,Comedy,4.52,4668.51,1036,433.43
Apple Podcasts,Comedy,4.4,4814.98,802,681.06
YouTube,Documentary,3.89,4410.09,1225,924.7
Apple Podcasts,Documentary,4.34,4373.1,1215,825.99
Apple Podcasts,Comedy,5,4666.16,1024,680.55
YouTube,Comedy,4.67,4547.06,1199,458.61
Apple Podcasts,News & Culture,4.08,4626.18,1103,461.8
Apple Podcasts,Documentary,4.4,4368.57,1031,738.45
Apple Podcasts,Comedy,4.42,4791.26,981,805.67
Apple Podcasts,Documentary,4.5,4425,989,778
Apple Podcasts,News & Culture,4.44,4243.64,885,313.67
Apple Podcasts,Comedy,3.25,4716.74,1053,315.29
Apple Podcasts,News & Culture,4.13,4580.36,835,556.1
Apple Podcasts,Comedy,100,4664.16,0,580.48
Spotify,News & Culture,4.77,4377.09,999,196.08
Apple Podcasts,Documentary,5,4390.66,858,1131.05
Apple Podcasts,Comedy,4.68,4805.4,1151,570.13
Apple Podcasts,News & Culture,3.6,4556.96,1110,537.03
Apple Podcasts,News & Culture,4.27,4677.49,1037,525.97
Apple Podcasts,Comedy,4.63,4707.55,923,415.4
Apple Podcasts,Documentary,4.66,4437.68,1031,1059.15
